short_label,diagnosis_code,diagnosis_description
J22 – Unspecified acute lower respiratory…,J22,Unspecified acute lower respiratory infection
B34 – Viral infection of unspecified site,B34,Viral infection of unspecified site
"J18 – Pneumonia, organism unspecified",J18,"Pneumonia, organism unspecified"
J44 – Other chronic obstructive pulmonary…,J44,Other chronic obstructive pulmonary disease
A41 – Other sepsis,A41,Other sepsis
N39 – Other disorders of urinary system,N39,Other disorders of urinary system
R10 – Abdominal and pelvic pain,R10,Abdominal and pelvic pain
R07 – Pain in throat and chest,R07,Pain in throat and chest
